iter	RMSE
0	0.13594073
1	0.1315827614
2	0.1272936948
3	0.1233706646
4	0.1195067173
5	0.1157763378
6	0.1122057104
7	0.1089136241
8	0.1057671799
9	0.1029483827
10	0.1000895634
11	0.09768196872
12	0.09528292197
13	0.09297530786
14	0.09074946885
15	0.08865719616
16	0.08678686855
17	0.08495615039
18	0.08342919508
19	0.08179100844
20	0.08034766465
21	0.07892301904
22	0.07747772494
23	0.07607691455
24	0.07472789524
25	0.07356914479
26	0.07257580944
27	0.07153636931
28	0.07051211848
29	0.06962798979
30	0.06884140882
31	0.06799311866
32	0.06714949079
33	0.06637994911
34	0.06565763394
35	0.06500629357
36	0.06430280852
37	0.06359417165
38	0.06306694486
39	0.06248536392
40	0.06200088864
41	0.06162460327
42	0.06118539291
43	0.06074876528
44	0.06025381591
45	0.05988370119
46	0.05949925865
47	0.0590908403
48	0.05875398597
49	0.05847186444
50	0.05818097438
51	0.05792583736
52	0.05756427309
53	0.05718334116
54	0.05683712871
55	0.05653999717
56	0.05631802949
57	0.05609515018
58	0.05582097502
59	0.05552952035
60	0.0553622868
61	0.05515930287
62	0.05499973817
63	0.05469109363
64	0.05440696359
65	0.05419839854
66	0.05389802722
67	0.0537159597
68	0.0535057383
69	0.05333498313
70	0.05314350564
71	0.05299977385
72	0.05290892711
73	0.05278707662
74	0.05263344535
75	0.0524225379
76	0.05233030684
77	0.05219476426
78	0.05207534042
79	0.051906545
80	0.05178226195
81	0.05166209479
82	0.05150365015
83	0.05135373358
84	0.05115834675
85	0.05096951205
86	0.05084616065
87	0.05073185992
88	0.05064664756
89	0.05054589546
90	0.05035056511
91	0.0502763559
92	0.05017019952
93	0.05010392952
94	0.05001275443
95	0.04989850983
96	0.04984653403
97	0.04981960552
98	0.04973876196
99	0.04968084998
