iter	Passed	Remaining
0	1	133
1	3	165
2	6	215
3	11	264
4	12	236
5	13	209
6	14	191
7	15	174
8	15	159
9	16	147
10	16	136
11	17	127
12	17	120
13	18	113
14	19	108
15	19	102
16	20	98
17	20	92
18	20	88
19	21	85
20	21	82
21	22	79
22	22	76
23	23	74
24	24	72
25	24	70
26	24	67
27	25	65
28	26	63
29	26	62
30	27	60
31	27	58
32	28	57
33	28	55
34	29	54
35	29	52
36	30	51
37	30	50
38	31	49
39	31	47
40	32	46
41	32	45
42	33	44
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	37
49	36	36
50	37	35
51	37	34
52	38	33
53	38	33
54	39	32
55	39	31
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	42	26
62	43	25
63	43	24
64	44	23
65	44	23
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	6
89	57	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
