iter	Passed	Remaining
0	140	140478
1	141	70763
2	142	47406
3	143	35777
4	144	28698
5	144	23990
6	145	20648
7	146	18141
8	147	16193
9	147	14632
10	148	13339
11	149	12275
12	149	11378
13	150	10591
14	151	9920
15	151	9334
16	152	8817
17	153	8364
18	154	7956
19	154	7577
20	155	7245
21	156	6943
22	156	6666
23	157	6407
24	158	6166
25	158	5952
26	159	5751
27	160	5568
28	161	5398
29	162	5246
30	162	5090
31	163	4945
32	164	4815
33	164	4683
34	165	4558
35	165	4442
36	166	4330
37	166	4226
38	167	4126
39	168	4032
40	168	3938
41	168	3852
42	169	3771
43	169	3692
44	170	3615
45	170	3543
46	171	3477
47	171	3408
48	172	3344
49	172	3283
50	173	3224
51	173	3167
52	174	3112
53	174	3060
54	175	3010
55	175	2964
56	176	2918
57	176	2871
58	177	2826
59	177	2783
60	178	2744
61	178	2707
62	179	2669
63	180	2632
64	180	2595
65	181	2561
66	181	2527
67	182	2494
68	182	2465
69	183	2435
70	183	2404
71	184	2376
72	184	2347
73	185	2318
74	185	2291
75	186	2266
76	186	2241
77	187	2215
78	187	2190
79	188	2166
80	188	2143
81	189	2121
82	189	2099
83	190	2078
84	191	2057
85	191	2036
86	192	2016
87	192	1996
88	193	1976
89	193	1958
90	194	1941
91	194	1923
92	195	1906
93	195	1888
94	196	1870
95	196	1853
96	197	1839
97	197	1820
98	198	1805
99	198	1789
100	199	1773
101	199	1758
102	200	1744
103	200	1729
104	201	1714
105	201	1701
106	202	1687
107	202	1673
108	203	1660
109	203	1647
110	204	1633
111	204	1620
112	204	1608
113	205	1597
114	206	1585
115	206	1573
116	206	1562
117	207	1550
118	207	1539
119	208	1528
120	208	1518
121	209	1507
122	209	1496
123	210	1486
124	210	1475
125	211	1464
126	211	1454
127	212	1445
128	212	1437
129	213	1428
130	213	1418
131	214	1409
132	214	1400
133	215	1391
134	215	1382
135	216	1374
136	216	1366
137	217	1357
138	217	1349
139	218	1340
140	218	1332
141	219	1324
142	219	1316
143	220	1308
144	220	1301
145	221	1294
146	221	1286
147	222	1278
148	222	1271
149	223	1264
150	223	1257
151	224	1250
152	224	1244
153	225	1237
154	225	1231
155	226	1224
156	226	1218
157	227	1211
158	227	1205
159	228	1199
160	229	1193
161	229	1187
162	230	1181
163	230	1175
164	231	1169
165	231	1164
166	232	1158
167	232	1153
168	233	1147
169	233	1141
170	234	1136
171	234	1131
172	235	1126
173	236	1120
174	236	1115
175	237	1110
176	237	1105
177	238	1100
178	238	1094
179	239	1089
180	239	1084
181	240	1079
182	240	1074
183	241	1069
184	241	1063
185	241	1058
186	242	1053
187	242	1048
188	243	1044
189	243	1039
190	244	1034
191	244	1029
192	245	1025
193	245	1020
194	246	1016
195	246	1011
196	247	1007
197	247	1002
198	248	998
199	248	994
200	249	989
201	249	985
202	250	981
203	250	978
204	251	974
205	251	970
206	252	966
207	252	962
208	253	958
209	253	954
210	254	950
211	254	947
212	255	943
213	256	940
214	256	937
215	257	933
216	257	929
217	258	926
218	258	923
219	259	920
220	260	916
221	260	913
222	261	910
223	261	906
224	262	903
225	263	900
226	263	897
227	264	894
228	264	890
229	265	887
230	265	884
231	266	881
232	266	878
233	267	875
234	267	872
